Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","4u7","C_1206_3216Metric",139.065000,-30.353000,90.000000,top
"C2","100n","C_0603_1608Metric",128.143000,-30.213000,90.000000,top
"C3","100n","C_0603_1608Metric",129.794000,-30.213000,90.000000,top
"C4","100n","C_0603_1608Metric",131.572000,-30.213000,90.000000,top
"C5","100n","C_0603_1608Metric",133.350000,-30.213000,90.000000,top
"C6","100n","C_0603_1608Metric",135.128000,-30.213000,90.000000,top
"C7","100n","C_0603_1608Metric",136.906000,-30.213000,90.000000,top
"C8","12p","C_0402_1005Metric",125.067000,-26.797000,180.000000,top
"C9","12p","C_0402_1005Metric",122.174000,-29.055000,90.000000,top
"C10","100n","C_0603_1608Metric",91.567000,-50.279000,270.000000,top
"C11","100n","C_0603_1608Metric",99.568000,-50.533000,270.000000,top
"C12","100n","C_0603_1608Metric",87.249000,-30.112000,270.000000,top
"C13","100n","C_0603_1608Metric",90.297000,-30.149500,270.000000,top
"C14","100n","C_0603_1608Metric",106.870500,-30.149500,270.000000,top
"C15","100n","C_0603_1608Metric",109.664500,-30.149500,270.000000,top
"C16","100n","C_0603_1608Metric",145.745500,-28.702000,0.000000,top
"C17","100n","C_0603_1608Metric",145.745500,-27.051000,0.000000,top
"C18","10u","C_0805_2012Metric",108.585000,-44.511000,270.000000,top
"C19","10u","C_0805_2012Metric",108.839000,-38.288000,270.000000,top
"C20","100n","C_0603_1608Metric",109.601000,-50.025000,90.000000,top
"C21","100n","C_0603_1608Metric",101.473000,-51.689000,270.000000,top
"C22","100n","C_0603_1608Metric",97.790000,-34.404000,270.000000,top
"C23","100n","C_0603_1608Metric",93.345000,-34.404000,270.000000,top
"D1","LED","LED_0603_1608Metric",133.070500,-32.893000,180.000000,top
"FB1","GZ2012D101TF","L_0805_2012Metric",101.680500,-46.990000,180.000000,top
"Q1","IRLML6402TRPBF","SOT-23",88.900000,-50.546000,0.000000,top
"Q2","IRLML6402TRPBF","SOT-23",112.252000,-49.850000,180.000000,top
"R1","47","R_0402_1005Metric",123.696000,-31.623000,180.000000,top
"R2","1k5","R_0402_1005Metric",133.602000,-34.417000,0.000000,top
"R3","100K","R_0402_1005Metric",93.347000,-52.070000,0.000000,top
"R4","100K","R_0402_1005Metric",107.186000,-48.641000,180.000000,top
"R5","100K","R_0402_1005Metric",95.502000,-35.052000,0.000000,top
"U1","STM32G030C8T6","LQFP-48_7x7mm_P0.5mm",126.631000,-37.620500,180.000000,top
"U2","AP2301","MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm",95.513000,-49.698000,270.000000,top
"U3","LIS2DW12TR","LGA-12_2x2mm_P0.5mm",83.820000,-31.115000,90.000000,top
"U4","LIS2DW12TR","LGA-12_2x2mm_P0.5mm",113.994500,-31.115500,90.000000,top
"U5","LIS2DW12TR","LGA-12_2x2mm_P0.5mm",144.145000,-31.115000,90.000000,top
"U6","AMS1117-3.3","SOT-223-3_TabPin2",103.618000,-40.538000,270.000000,top
"U7","AP2301","MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm",105.537000,-50.927000,90.000000,top
"U8","TXB0104RUT","Texas_R_PUQFN-N12",95.631000,-31.966000,90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",125.011000,-29.122000,180.000000,top
