Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","10u","C_0805_2012Metric",89.814400,-50.459600,270.000000,top
"C2","10u","C_0805_2012Metric",89.814400,-54.371200,270.000000,top
"C3","100n","C_0603_1608Metric",62.166200,-46.786800,180.000000,top
"C4","100n","C_0603_1608Metric",62.192200,-48.361600,180.000000,top
"C9","4u7","C_1206_3216Metric",77.774800,-51.106600,90.000000,top
"C10","100n","C_0603_1608Metric",65.671400,-54.356000,180.000000,top
"C11","100n","C_0603_1608Metric",75.031600,-55.575200,90.000000,top
"C12","100n","C_0603_1608Metric",76.657200,-55.562200,90.000000,top
"C13","100n","C_0603_1608Metric",78.282800,-55.562200,90.000000,top
"C14","100n","C_0603_1608Metric",65.697400,-52.730400,180.000000,top
"C15","100n","C_0603_1608Metric",65.697400,-55.930800,180.000000,top
"C16","12p","C_0402_1005Metric",68.072000,-54.587200,90.000000,top
"C17","12p","C_0402_1005Metric",73.609200,-54.582000,270.000000,top
"D1","LED","LED_0603_1608Metric",63.042800,-52.654300,90.000000,top
"FB1","GZ2012D101TF","L_0805_2012Metric",89.814400,-46.329600,90.000000,top
"Q1","IRLML6402TRPBF","SOT-23",90.814400,-42.382400,0.000000,top
"R1","1k5","R_0402_1005Metric",63.042800,-55.374000,90.000000,top
"R2","47","R_0402_1005Metric",73.609200,-52.576000,270.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",84.073600,-53.441600,180.000000,top
"U6","STM32G030C8T6","LQFP-48_7x7mm_P0.5mm",69.846000,-46.580500,90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",70.848400,-53.783600,0.000000,top
