Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","4u7","C_1206_3216Metric",171.880000,-68.580000,180.000000,top
"C2","10u","C_0805_2012Metric",159.004000,-57.216000,90.000000,top
"C3","100n","C_0603_1608Metric",188.976000,-79.502000,0.000000,top
"C4","100n","C_0603_1608Metric",175.768000,-80.264000,0.000000,top
"C5","1u","C_0805_2012Metric",165.862000,-61.595000,270.000000,top
"C6","100n","C_0603_1608Metric",171.958000,-70.866000,180.000000,top
"C7","10u","C_0805_2012Metric",159.004000,-53.086000,90.000000,top
"C8","10n","C_0805_2012Metric",163.576000,-61.595000,270.000000,top
"C9","2u2","C_0805_2012Metric",173.228000,-77.536000,270.000000,top
"C10","100n","C_0603_1608Metric",189.738000,-69.850000,270.000000,top
"C11","2u2","C_0805_2012Metric",185.862000,-81.788000,0.000000,top
"C12","100n","C_0603_1608Metric",187.452000,-66.294000,270.000000,top
"C13","12p","C_0402_1005Metric",186.182000,-64.008000,90.000000,top
"C14","12p","C_0402_1005Metric",183.515000,-61.468000,0.000000,top
"C15","1u","C_0805_2012Metric",208.468000,-77.343000,0.000000,top
"C16","10u","C_0805_2012Metric",174.117000,-59.690000,180.000000,top
"C17","100n","C_0603_1608Metric",154.940000,-63.754000,270.000000,top
"C18","10u","C_0805_2012Metric",152.908000,-63.754000,270.000000,top
"C19","2u2","C_0805_2012Metric",150.495000,-60.198000,90.000000,top
"D1","LED","LED_0603_1608Metric",194.564000,-74.422000,90.000000,top
"FB1","GZ2012D101TF","L_0805_2012Metric",156.972000,-62.484000,90.000000,top
"J1","SWD","PinHeader_2x05_P1.27mm_Vertical_SMD",197.358000,-57.404000,90.000000,top
"L1","39n","L_0402_1005Metric",167.640000,-60.198000,270.000000,top
"Q1","Si2319CDS","SOT-23",155.956000,-58.674000,90.000000,top
"R1","1k5","R_0402_1005Metric",194.564000,-77.216000,90.000000,top
"R2","10K","R_0402_1005Metric",189.738000,-72.009000,0.000000,top
"R3","47","R_0402_1005Metric",180.848000,-64.770000,90.000000,top
"R4","10K","R_0402_1005Metric",207.899000,-80.391000,0.000000,top
"R5","10K","R_0402_1005Metric",145.669000,-58.674000,0.000000,top
"R6","150","R_0805_2012Metric",174.244000,-57.404000,180.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",164.719000,-55.245000,0.000000,top
"U2","STM32F405RGT6","LQFP-64_10x10mm_P0.5mm",181.610000,-73.787000,270.000000,top
"U5","DRV8848","TSSOP-16-1EP_4.4x5mm_P0.65mm",148.236000,-55.184500,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",183.515000,-64.262000,90.000000,top
