Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","4u7","C_1206_3216Metric",110.251240,-122.461760,90.000000,top
"C2","100n","C_0603_1608Metric",102.092760,-135.349280,270.000000,top
"C3","100n","C_0603_1608Metric",103.753920,-135.379160,270.000000,top
"C4","100n","C_0603_1608Metric",104.876600,-124.101560,90.000000,top
"C5","100n","C_0603_1608Metric",106.522520,-124.099320,90.000000,top
"C6","100n","C_0603_1608Metric",91.162840,-131.566920,180.000000,top
"C7","100n","C_0603_1608Metric",91.148999,-133.230199,180.000000,top
"C8","100n","C_0603_1608Metric",93.799960,-120.324880,180.000000,top
"C9","100n","C_0603_1608Metric",93.799960,-121.991120,180.000000,top
"C10","12p","C_0402_1005Metric",101.991160,-119.186960,270.000000,top
"C11","12p","C_0402_1005Metric",96.443800,-119.077800,90.000000,top
"C12","10u","C_0805_2012Metric",147.828000,-109.489200,90.000000,top
"C13","10u","C_0805_2012Metric",146.776400,-120.040400,0.000000,top
"C14","400p","C_0603_1608Metric",83.718400,-136.024320,90.000000,top
"C15","400p","C_0603_1608Metric",78.115160,-136.065560,90.000000,top
"C17","220uF","CP_EIA-7343-31_Kemet-D",157.341300,-108.508800,180.000000,top
"C18","100n","C_0603_1608Metric",182.021480,-109.773720,270.000000,top
"C19","10u","C_0805_2012Metric",184.663080,-109.753440,270.000000,top
"C20","2u2","C_0805_2012Metric",197.180200,-107.025480,90.000000,top
"C21","10u","C_0805_2012Metric",76.642000,-119.075200,180.000000,top
"C22","100n","C_0603_1608Metric",76.880720,-139.679680,270.000000,top
"C23","1u","C_0402_1005Metric",78.808520,-140.680440,180.000000,top
"D1","B5819W SL","D_SOD-123",179.604400,-136.296400,0.000000,top
"D2"," SK32WA","D_SOD-123",165.354000,-108.281200,90.000000,top
"D3","B5819W SL","D_SOD-123",166.827200,-138.964400,270.000000,top
"D4","LED","LED_0603_1608Metric",106.791660,-117.002560,180.000000,top
"D5","B5819W SL","D_SOD-123",149.606000,-136.625600,90.000000,top
"FB1","GZ2012D101TF","L_0805_2012Metric",166.568900,-126.238000,0.000000,top
"J9","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",66.243200,-124.002800,270.000000,top
"L1","33uH","L_12x12mm_H8mm",159.737600,-117.856000,180.000000,top
"Q1","AO3400A","SOT-23",139.649200,-122.123200,180.000000,top
"R1","150K","R_0402_1005Metric",151.902160,-137.793000,270.000000,top
"R2","15K","R_0402_1005Metric",151.886920,-135.232680,270.000000,top
"R3","220","R_0402_1005Metric",142.443200,-123.594400,90.000000,top
"R4","10K","R_0402_1005Metric",142.443200,-121.259600,270.000000,top
"R5","R510","R_2512_6332Metric",186.267500,-136.245600,180.000000,top
"R6","100K","R_0402_1005Metric",179.169600,-140.512800,180.000000,top
"R7","10K","R_0402_1005Metric",197.177120,-111.826040,0.000000,top
"R8","150","R_0805_2012Metric",76.604500,-122.071001,180.000000,top
"R9","100K","R_0402_1005Metric",179.173600,-141.681200,0.000000,top
"R10","47","R_0402_1005Metric",98.044000,-121.523760,180.000000,top
"R11","10K","R_0402_1005Metric",88.107520,-107.972320,270.000000,top
"R12","1k5","R_0402_1005Metric",110.180120,-117.048280,180.000000,top
"R13","10K","R_0402_1005Metric",109.331760,-110.914720,90.000000,top
"R14","10K","R_0402_1005Metric",91.844400,-128.635760,180.000000,top
"R15","4K7","R_0402_1005Metric",87.169720,-137.154920,180.000000,top
"R16","4K7","R_0402_1005Metric",87.169720,-139.212320,180.000000,top
"R17","4K7","R_0402_1005Metric",87.169720,-141.427200,180.000000,top
"R18","5R1","R_2512_6332Metric",144.509900,-130.505200,180.000000,top
"R20","220","R_0402_1005Metric",134.040880,-132.577840,180.000000,top
"R21","2K4","R_0402_1005Metric",130.167920,-132.577840,180.000000,top
"SW1","SW_SPST","SW_SPST_TL3342",93.429001,-109.501801,0.000000,top
"SW2","SW_SPST","SW_SPST_TL3342",102.979001,-109.501801,0.000000,top
"U1","INA181","SOT-23-6",186.301200,-140.142000,180.000000,top
"U2","LMV321","SOT-23-5",182.168800,-140.258800,90.000000,top
"U3","STM32L151C8TxA","LQFP-48_7x7mm_P0.5mm",98.748601,-128.207401,270.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",144.678000,-115.098800,180.000000,top
"U5","FUSB302BMPX","WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm",80.931199,-137.958401,0.000000,top
"U6","LM2596S-5","TO-263-5_TabPin3",158.699200,-133.604000,270.000000,top
"U7","DRV8848","TSSOP-16-1EP_4.4x5mm_P0.65mm",191.383460,-109.069200,90.000000,top
"U8","USBLC6-2SC6","SOT-23-6",83.228000,-125.613200,0.000000,top
"U9","LM317_SOT-223","SOT-223-3_TabPin2",133.654800,-137.414000,0.000000,top
"U10","LM317_SOT-223","SOT-223-3_TabPin2",143.154400,-138.125200,270.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",99.209680,-119.048160,180.000000,top
