Designator,Val,Package,MidX,MidY,Rotation,Layer
"C15","680uF","CP_Elec_10x10.5",17.145000,-17.018000,180.000000,bottom
"C16","220uF","CP_EIA-7343-31_Kemet-D",-8.255000,-7.366000,90.000000,bottom
"D2"," SK32WA","D_SOD-123",-6.477000,-27.559000,180.000000,bottom
"J1","Conn_02x08_Odd_Even","PinHeader_2x08_P1.27mm_Vertical_SMD",24.003000,0.762000,0.000000,bottom
"L1","33uH","L_12x12mm_H8mm",-9.395000,-19.177000,0.000000,bottom
"U3","LM2596S-5","TO-263-5_TabPin3",3.810000,-19.685000,90.000000,bottom
"C1","10u","C_0805_2012Metric",18.415000,-20.955000,0.000000,top
"C2","10u","C_0805_2012Metric",24.384000,-13.716000,270.000000,top
"C3","10u","C_0402_1005Metric",-10.668000,-2.032000,180.000000,top
"C4","4u7","C_1206_3216Metric",9.017000,-4.191000,180.000000,top
"C5","100n","C_0603_1608Metric",7.239000,17.145000,0.000000,top
"C6","100n","C_0603_1608Metric",7.239000,18.796000,0.000000,top
"C7","100n","C_0603_1608Metric",-5.588000,19.685000,180.000000,top
"C8","100n","C_0603_1608Metric",-5.588000,21.336000,180.000000,top
"C9","100n","C_0603_1608Metric",2.413000,8.890000,180.000000,top
"C10","100n","C_0603_1608Metric",1.778000,6.477000,180.000000,top
"C11","100n","C_0603_1608Metric",-6.223000,12.078000,90.000000,top
"C12","100n","C_0603_1608Metric",-7.874000,12.078000,90.000000,top
"C13","12p","C_0402_1005Metric",7.239000,12.728000,270.000000,top
"C14","12p","C_0402_1005Metric",9.779000,16.383000,0.000000,top
"C17","0u1","C_0402_1005Metric",-10.287000,-18.923000,180.000000,top
"C18","1u","C_0402_1005Metric",-15.240000,-20.292000,90.000000,top
"C19","10u","C_0603_1608Metric",-11.938000,-12.446000,180.000000,top
"C20","100n","C_0603_1608Metric",21.209000,20.333000,90.000000,top
"C21","100n","C_0603_1608Metric",19.558000,18.542000,270.000000,top
"D1","LED","LED_0603_1608Metric",16.484500,9.906000,180.000000,top
"D3","1N5819WS","D_SOD-323",-17.526000,-19.812000,90.000000,top
"Q1","AO3400A","SOT-23",-21.717000,-13.208000,90.000000,top
"Q2","AO3401A","SOT-23",-10.287000,-16.256000,90.000000,top
"Q3","AO3400A","SOT-23",-14.351000,-17.018000,0.000000,top
"R1","220","R_0402_1005Metric",-22.225000,-15.748000,0.000000,top
"R2","10K","R_0402_1005Metric",-24.511000,-15.748000,0.000000,top
"R3","150K","R_0402_1005Metric",27.813000,8.509000,270.000000,top
"R4","20K","R_0402_1005Metric",26.670000,8.509000,90.000000,top
"R5","150","R_0805_2012Metric",-9.017000,-4.699000,0.000000,top
"R6","47","R_0402_1005Metric",6.731000,15.748000,0.000000,top
"R7","1k5","R_0402_1005Metric",19.304000,9.652000,180.000000,top
"R8","10K","R_0402_1005Metric",11.809000,9.398000,0.000000,top
"R9","10K","R_0402_1005Metric",-10.287000,22.481000,90.000000,top
"R10","100K","R_0402_1005Metric",-10.287000,-20.193000,0.000000,top
"R11","10K","R_0402_1005Metric",-12.827000,-20.828000,0.000000,top
"R12","100K","R_0402_1005Metric",-15.113000,-14.097000,0.000000,top
"R13","300K","R_0603_1608Metric",-17.526000,-16.066000,90.000000,top
"R14","4K7","R_0402_1005Metric",12.827000,1.272000,90.000000,top
"R15","4K7","R_0402_1005Metric",14.097000,1.272000,90.000000,top
"R16","4K7","R_0402_1005Metric",-8.890000,18.669000,0.000000,top
"SW1","SW_Push","TS-1095PS-A11B3-C3D2",0.003000,26.079007,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",18.415000,-15.367000,0.000000,top
"U2","STM32L151C8TxA","LQFP-48_7x7mm_P0.5mm",0.127000,15.113000,180.000000,top
"U4","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",15.621000,16.764000,90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",9.525000,13.716000,90.000000,top
